game_id,team_side,inning,runs
eagles_2023_EF1,away,1,0
eagles_2023_EF1,home,1,0
eagles_2023_EF1,away,2,0
eagles_2023_EF1,home,2,0
eagles_2023_EF1,away,3,0
eagles_2023_EF1,home,3,0
eagles_2023_EF1,away,4,0
eagles_2023_EF1,home,4,0
eagles_2023_EF1,away,5,1
eagles_2023_EF1,home,5,0
eagles_2023_EF1,away,6,2
eagles_2023_EF1,home,6,1
eagles_2023_EF1,away,7,0
eagles_2023_EF1,home,7,0
eagles_2023_EF1,away,8,0
eagles_2023_EF1,home,8,0
eagles_2023_EF1,away,9,0
eagles_2023_EF1,home,9,0
eagles_2023_EF2,away,1,0
eagles_2023_EF2,home,1,0
eagles_2023_EF2,away,2,0
eagles_2023_EF2,home,2,0
eagles_2023_EF2,away,3,0
eagles_2023_EF2,home,3,0
eagles_2023_EF2,away,4,0
eagles_2023_EF2,home,4,0
eagles_2023_EF2,away,5,1
eagles_2023_EF2,home,5,0
eagles_2023_EF2,away,6,0
eagles_2023_EF2,home,6,1
eagles_2023_EF2,away,7,0
eagles_2023_EF2,home,7,2
eagles_2023_EF2,away,8,2
eagles_2023_EF2,home,8,0
eagles_2023_EF2,away,9,0
eagles_2023_EF2,home,9,0
eagles_2023_EF2,away,10,0
eagles_2023_EF2,home,10,1
eagles_2023_EF3,away,1,0
eagles_2023_EF3,home,1,0
eagles_2023_EF3,away,2,0
eagles_2023_EF3,home,2,0
eagles_2023_EF3,away,3,1
eagles_2023_EF3,home,3,0
eagles_2023_EF3,away,4,0
eagles_2023_EF3,home,4,0
eagles_2023_EF3,away,5,0
eagles_2023_EF3,home,5,1
eagles_2023_EF3,away,6,0
eagles_2023_EF3,home,6,0
eagles_2023_EF3,away,7,1
eagles_2023_EF3,home,7,0
eagles_2023_EF3,away,8,0
eagles_2023_EF3,home,8,0
eagles_2023_EF3,away,9,0
eagles_2023_EF3,home,9,0
eagles_2023_EL1,away,1,0
eagles_2023_EL1,home,1,0
eagles_2023_EL1,away,2,0
eagles_2023_EL1,home,2,0
eagles_2023_EL1,away,3,0
eagles_2023_EL1,home,3,0
eagles_2023_EL1,away,4,0
